variant,step,train_loss,eval_loss
perft_r_top2of4_r16,130,1.141,
perft_r_top2of4_r16,140,1.0905,
perft_r_top2of4_r16,150,1.1128,
perft_r_top2of4_r16,160,1.0233,
perft_r_top2of4_r16,170,1.0954,
perft_r_top2of4_r16,180,1.1052,
perft_r_top2of4_r16,190,1.0843,
perft_r_top2of4_r16,200,1.1234,
perft_r_top2of4_r16,210,1.1105,
perft_r_top2of4_r16,220,1.086,
perft_r_top2of4_r16,230,1.0973,
perft_r_top2of4_r16,240,1.0754,
perft_r_top2of4_r16,250,1.0632,
perft_r_top2of4_r16,260,1.0423,
perft_r_top2of4_r16,270,1.1095,
perft_r_top2of4_r16,280,1.1225,
perft_r_top2of4_r16,290,1.1066,
perft_r_top2of4_r16,300,1.151,
perft_r_top2of4_r16,310,1.1203,
perft_r_top2of4_r16,320,1.1202,
perft_r_top2of4_r16,330,1.0753,
perft_r_top2of4_r16,340,1.1085,
perft_r_top2of4_r16,350,1.0802,
perft_r_top2of4_r16,360,1.1431,
perft_r_top2of4_r16,370,1.0117,
perft_r_top2of4_r16,380,1.1229,
perft_r_top2of4_r16,390,1.091,
perft_r_top2of4_r16,400,1.1517,
perft_r_top2of4_r16,410,1.0856,
perft_r_top2of4_r16,420,1.1009,
perft_r_top2of4_r16,430,1.1078,
perft_r_top2of4_r16,440,1.077,
perft_r_top2of4_r16,450,1.1111,
perft_r_top2of4_r16,460,1.1793,
perft_r_top2of4_r16,470,1.023,
perft_r_top2of4_r16,480,1.0835,
perft_r_top2of4_r16,490,1.0898,
perft_r_top2of4_r16,500,1.0527,
perft_r_top2of4_r16,eval,,1.1474173069000244
perft_r_top2of4_r16,eval,,1.1236342191696167
perft_r_top2of4_r16,eval,,1.114946961402893
perft_r_top2of4_r16,eval,,1.1083322763442993
perft_r_top2of4_r16,eval,,1.1029243469238281
perft_r_top2of4_r32,10,2.7973,
perft_r_top2of4_r32,20,2.2191,
perft_r_top2of4_r32,30,1.5727,
perft_r_top2of4_r32,40,1.2046,
perft_r_top2of4_r32,50,1.1905,
perft_r_top2of4_r32,60,1.1799,
perft_r_top2of4_r32,70,1.0974,
perft_r_top2of4_r32,80,1.1845,
perft_r_top2of4_r32,90,1.1278,
perft_r_top2of4_r32,100,1.039,
perft_r_top2of4_r32,110,1.1264,
perft_r_top2of4_r32,120,1.0873,
perft_r_top2of4_r32,130,1.141,
perft_r_top2of4_r32,140,1.0864,
perft_r_top2of4_r32,150,1.1073,
perft_r_top2of4_r32,160,1.0173,
perft_r_top2of4_r32,170,1.0913,
perft_r_top2of4_r32,180,1.1031,
perft_r_top2of4_r32,190,1.0764,
perft_r_top2of4_r32,200,1.1129,
perft_r_top2of4_r32,210,1.1034,
perft_r_top2of4_r32,220,1.0792,
perft_r_top2of4_r32,230,1.0903,
perft_r_top2of4_r32,240,1.0669,
perft_r_top2of4_r32,250,1.0626,
perft_r_top2of4_r32,260,1.0334,
perft_r_top2of4_r32,270,1.1001,
perft_r_top2of4_r32,280,1.111,
perft_r_top2of4_r32,290,1.0965,
perft_r_top2of4_r32,300,1.1435,
perft_r_top2of4_r32,310,1.1096,
perft_r_top2of4_r32,320,1.1147,
perft_r_top2of4_r32,330,1.0694,
perft_r_top2of4_r32,340,1.091,
perft_r_top2of4_r32,350,1.0715,
perft_r_top2of4_r32,360,1.1335,
perft_r_top2of4_r32,370,1.003,
perft_r_top2of4_r32,380,1.1136,
perft_r_top2of4_r32,390,1.0844,
perft_r_top2of4_r32,400,1.1397,
perft_r_top2of4_r32,410,1.0742,
perft_r_top2of4_r32,420,1.0925,
perft_r_top2of4_r32,430,1.0948,
perft_r_top2of4_r32,440,1.0683,
perft_r_top2of4_r32,450,1.1038,
perft_r_top2of4_r32,460,1.1711,
perft_r_top2of4_r32,470,1.0138,
perft_r_top2of4_r32,480,1.0758,
perft_r_top2of4_r32,490,1.0829,
perft_r_top2of4_r32,500,1.0449,
perft_r_top2of4_r32,eval,,1.1475383043289185
perft_r_top2of4_r32,eval,,1.1194316148757935
perft_r_top2of4_r32,eval,,1.1082168817520142
perft_r_top2of4_r32,eval,,1.1014925241470337
perft_r_top2of4_r32,eval,,1.0972542762756348
perft_r_top2of4_r8,10,2.7053,
perft_r_top2of4_r8,20,1.8006,
perft_r_top2of4_r8,30,1.3296,
perft_r_top2of4_r8,40,1.1407,
perft_r_top2of4_r8,50,1.1542,
perft_r_top2of4_r8,60,1.1562,
